YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,4,17,95.35,2.16,3.31,1.12,2.19,314.75,3.45,4.68,1.63,3.05,314.06,4.83,7.18,0.95
2021,4,18,95.5,1.53,1.96,0.63,1.33,294.75,2.37,3.38,0.83,2.55,295.31,4.09,7.25,0.75
2021,4,19,95.47,1.23,2.42,0.57,1.84,268.56,2.1,5.09,0.88,4.2,277.88,5.12,7.25,0.58
2021,4,20,95.63,3.66,4.95,2.46,2.48,222.62,6.35,8.68,2.94,5.74,224.62,7.48,7.56,1.59
2021,4,21,95.33,4.77,7.02,2.18,4.84,277.81,7.4,9.59,4.16,5.42,277.56,5.37,7.39,2.17
2021,4,22,95.94,4.16,6.0,2.61,3.39,295.69,7.16,8.6,5.71,2.89,296.19,5.46,7.57,1.75
2021,4,23,96.24,2.42,2.96,1.66,1.3,279.94,4.0,5.38,3.08,2.3,281.25,6.16,7.71,1.01
2021,4,24,95.81,2.07,3.09,0.23,2.86,176.38,3.04,4.44,0.38,4.05,177.94,3.22,7.09,1.02
2021,4,25,95.4,3.62,5.64,1.95,3.69,295.81,5.88,7.95,2.68,5.27,296.62,4.43,7.43,1.62
2021,4,26,96.24,2.45,3.94,1.09,2.84,279.0,3.98,5.57,1.66,3.91,276.5,7.74,7.8,1.09
2021,4,27,95.97,3.02,3.96,1.95,2.02,229.5,5.71,7.43,2.5,4.93,232.0,7.27,7.61,1.2
2021,4,28,95.79,2.88,3.78,2.06,1.72,254.38,5.51,6.83,4.19,2.64,256.5,5.86,7.19,1.12
2021,4,29,95.17,3.81,5.79,1.85,3.94,244.5,6.88,9.66,4.26,5.41,246.5,3.32,6.75,1.58
2021,4,30,95.32,6.38,7.98,3.52,4.45,303.94,10.34,11.89,7.25,4.64,304.0,7.36,8.01,2.91
2021,5,1,95.96,3.21,5.12,1.83,3.3,287.31,5.7,9.63,2.71,6.92,288.12,8.38,8.37,1.34
