YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2023,2,8,3.55,3.82,0.75,101.62,2.16,2.82,0.45,2.38,231.19,4.05,6.52,0.62,5.9,231.38
2023,2,9,2.44,3.81,1.13,101.17,3.35,4.98,2.14,2.84,171.25,6.38,9.88,3.99,5.88,173.38
2023,2,10,3.67,4.14,1.05,101.01,3.1,4.58,1.82,2.77,297.19,6.09,9.37,3.89,5.48,297.69
2023,2,11,3.73,4.39,0.83,101.83,2.31,3.64,1.48,2.16,118.44,4.61,5.4,3.08,2.33,118.31
2023,2,12,0.75,4.06,1.81,100.49,4.45,6.95,1.28,5.66,113.75,6.75,9.8,2.63,7.16,101.75
2023,2,13,4.07,4.43,1.35,100.1,3.67,5.8,2.86,2.95,286.69,6.53,8.78,4.7,4.08,288.88
2023,2,14,4.49,4.51,0.66,101.15,2.01,2.95,0.5,2.44,214.56,4.05,6.95,0.77,6.18,216.81
2023,2,15,2.65,4.23,1.03,101.16,3.12,4.55,1.93,2.62,198.5,6.05,8.34,3.87,4.47,199.88
2023,2,16,2.62,4.06,0.99,100.9,3.11,4.77,2.29,2.48,214.56,6.26,8.64,3.73,4.91,216.06
2023,2,17,0.91,4.14,1.63,100.28,4.5,6.52,2.7,3.84,258.38,7.8,10.71,5.53,5.18,259.56
2023,2,18,4.94,4.88,0.8,102.17,2.31,3.84,1.12,2.71,281.94,4.38,7.36,1.59,5.77,282.19
2023,2,19,4.41,4.71,1.18,101.66,3.34,5.19,1.7,3.49,200.44,6.1,8.58,3.09,5.48,202.25
2023,2,20,1.11,4.25,0.87,100.27,2.73,3.53,2.08,1.45,224.31,5.46,6.7,3.91,2.77,225.75
2023,2,21,4.23,4.61,1.08,99.9,3.19,5.77,1.48,4.29,277.0,6.29,9.43,2.06,7.38,278.0
2023,2,22,2.53,4.41,0.84,100.71,2.52,3.16,1.52,1.64,138.12,5.05,6.97,3.25,3.72,140.25
2023,2,23,3.16,4.42,1.09,100.56,3.3,4.6,2.21,2.39,237.69,6.49,8.22,4.95,3.27,239.0
2023,2,24,4.3,4.89,1.28,101.76,3.66,5.72,2.27,3.44,224.19,6.9,8.8,5.02,3.78,224.19
2023,2,25,1.05,4.53,0.53,101.86,1.44,2.34,0.58,1.75,107.25,2.74,4.85,0.74,4.11,107.44
2023,2,26,2.63,4.93,0.78,100.86,2.02,3.77,0.25,3.52,221.56,3.62,6.76,0.32,6.44,221.94
2023,2,27,1.95,4.65,1.07,100.18,2.73,5.11,1.11,4.0,173.31,4.8,8.53,1.66,6.87,175.62
2023,2,28,4.43,5.03,0.95,99.9,2.71,3.89,1.96,1.93,229.94,5.16,8.03,3.38,4.66,229.75
2023,3,1,3.03,4.99,0.81,100.92,2.25,2.98,1.56,1.42,140.44,4.12,5.88,2.31,3.57,142.19
2023,3,2,2.13,4.66,0.76,100.09,2.31,3.23,1.39,1.84,251.19,4.66,7.28,2.9,4.38,252.44
2023,3,3,0.64,4.42,1.65,100.13,4.31,8.69,1.77,6.93,94.5,7.24,15.05,4.05,11.0,96.75
2023,3,4,5.56,5.51,1.82,99.96,4.91,6.55,2.12,4.43,296.62,8.7,11.88,5.13,6.74,297.44
2023,3,5,5.45,5.42,0.76,101.43,1.77,2.62,0.59,2.03,256.5,2.98,5.09,0.72,4.38,256.5
2023,3,6,5.12,5.28,0.67,101.17,1.99,2.9,0.95,1.95,127.94,3.96,6.73,1.27,5.45,130.69
2023,3,7,5.27,5.43,1.51,100.65,4.35,5.75,2.81,2.94,314.62,7.65,8.98,5.68,3.3,314.25
2023,3,8,5.79,5.75,1.34,101.62,3.82,5.41,2.25,3.16,344.44,6.95,8.12,5.36,2.77,345.25
2023,3,9,5.59,5.67,0.88,101.57,2.53,3.38,1.58,1.8,252.38,4.45,6.65,2.62,4.03,252.81
2023,3,10,0.83,5.22,0.91,100.53,2.69,4.05,1.66,2.4,183.12,4.93,6.63,3.3,3.33,184.44
2023,3,11,4.6,5.77,1.41,100.42,4.04,6.31,2.24,4.07,328.75,7.24,9.41,5.21,4.2,329.5
2023,3,12,1.49,5.41,0.5,100.81,1.44,2.27,0.84,1.45,145.56,2.69,4.98,1.2,3.78,145.88
2023,3,13,2.44,5.67,0.79,100.39,2.17,4.37,1.04,3.34,242.06,3.89,8.48,2.31,6.17,242.69
2023,3,14,5.73,6.02,1.73,100.74,4.82,6.68,2.99,3.68,294.88,8.12,9.88,5.61,4.27,296.69
2023,3,15,6.31,6.27,1.46,101.26,4.21,5.69,2.52,3.17,315.38,7.6,8.38,6.09,2.3,316.88
2023,3,16,6.15,6.2,0.9,101.23,2.68,3.55,1.37,2.19,233.56,5.3,7.58,1.56,6.01,234.56
2023,3,17,2.01,5.59,1.3,100.08,3.87,5.83,2.59,3.24,215.44,7.05,9.12,5.02,4.1,217.12
2023,3,18,5.41,6.03,1.02,100.34,2.9,4.04,1.95,2.09,306.38,5.28,7.05,3.6,3.45,306.44
2023,3,19,6.55,6.53,1.11,101.41,3.18,4.27,2.12,2.13,328.44,5.64,7.92,4.45,3.47,327.69
2023,3,20,6.57,6.53,0.58,102.0,1.46,2.71,0.12,2.59,196.62,2.56,5.19,0.23,4.96,197.0
2023,3,21,6.2,6.4,0.67,102.19,2.08,2.83,1.03,1.8,211.25,4.09,7.11,1.22,5.89,211.94
2023,3,22,4.02,6.02,0.8,101.92,2.51,3.62,1.73,1.89,208.62,4.73,6.3,2.38,3.92,209.5
2023,3,23,4.32,5.81,1.27,100.93,3.95,5.95,2.57,3.38,222.81,7.21,9.2,5.23,3.98,224.5
2023,3,24,4.15,5.71,0.99,100.49,2.64,4.35,0.65,3.7,178.19,4.39,6.47,0.84,5.64,181.31
2023,3,25,2.31,6.04,1.31,100.18,3.66,4.98,2.62,2.36,175.88,6.3,8.88,3.88,5.01,177.88
2023,3,26,5.68,6.35,0.66,100.75,2.05,2.69,1.23,1.46,262.88,4.07,5.92,2.06,3.85,262.0
2023,3,27,2.52,5.95,0.8,100.55,2.21,3.3,1.31,1.98,219.06,4.05,6.65,2.67,3.98,220.12
2023,3,28,3.55,6.06,0.79,101.11,2.2,3.35,1.23,2.12,148.38,4.08,5.27,1.48,3.79,146.69
2023,3,29,5.75,6.44,0.7,101.36,2.02,2.97,0.8,2.17,240.19,3.82,7.12,1.16,5.97,241.5
2023,3,30,6.57,6.61,0.76,101.87,2.37,3.63,0.3,3.34,161.38,4.55,6.52,0.91,5.61,160.38
2023,3,31,2.85,6.22,1.16,101.43,3.43,5.73,1.9,3.83,194.19,6.15,9.77,2.95,6.82,195.88
2023,4,1,3.31,6.11,1.93,99.76,5.57,7.38,2.7,4.68,232.56,9.75,12.72,5.73,6.99,234.62
2023,4,2,6.94,6.94,0.88,100.89,2.66,4.41,1.0,3.41,257.06,4.91,8.73,1.61,7.12,256.0
2023,4,3,5.7,6.69,1.01,101.09,3.02,4.3,1.95,2.34,177.75,5.55,7.1,3.75,3.35,179.38
2023,4,4,6.5,6.57,0.71,100.92,2.26,2.59,1.63,0.95,206.31,4.55,6.8,2.84,3.97,207.06
2023,4,5,5.59,6.41,0.96,101.17,2.95,4.46,1.81,2.65,194.12,5.74,7.38,2.38,4.99,195.5
2023,4,6,4.6,6.0,0.88,101.32,2.62,4.83,1.17,3.66,207.25,4.83,7.35,2.43,4.93,208.19
2023,4,7,1.2,6.11,1.04,102.12,2.71,4.94,0.36,4.59,94.31,4.43,7.65,0.45,7.2,79.5
2023,4,8,2.65,6.47,0.92,102.27,2.61,4.65,1.31,3.34,104.81,4.8,6.88,3.0,3.88,105.94
2023,4,9,7.21,7.2,1.02,102.32,2.92,4.26,1.73,2.52,65.12,5.24,6.64,4.09,2.55,65.56
2023,4,10,7.5,7.47,0.67,102.36,1.79,2.62,1.03,1.59,140.0,3.2,6.63,1.47,5.17,125.25
2023,4,11,7.33,7.32,0.75,101.69,2.28,3.09,1.7,1.39,238.44,4.48,7.7,2.16,5.53,240.94
