YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,3,6,101.31,4.83,6.48,3.36,3.12,284.69,7.48,9.38,6.1,3.28,284.88,5.4,5.59,3.24
2021,3,7,101.94,3.45,5.01,2.18,2.83,212.81,4.84,5.88,3.42,2.46,212.19,5.73,5.7,2.22
2021,3,8,102.29,2.84,4.47,1.5,2.97,163.12,4.38,9.0,2.17,6.84,162.88,5.49,5.54,1.77
2021,3,9,102.04,3.48,5.11,0.21,4.91,242.44,5.49,8.11,0.34,7.77,243.62,4.16,5.06,2.27
2021,3,10,102.04,4.07,4.88,2.0,2.88,131.94,6.7,9.78,2.93,6.85,133.5,5.3,5.3,2.62
2021,3,11,101.5,4.74,6.98,2.75,4.23,207.62,8.04,11.55,4.59,6.95,208.62,5.44,5.49,3.02
2021,3,12,101.3,4.54,6.23,3.17,3.05,285.88,7.73,11.18,5.06,6.12,286.19,2.34,5.25,2.94
2021,3,13,101.69,4.23,8.0,1.91,6.09,282.38,6.25,11.4,2.62,8.77,282.31,5.4,5.99,2.87
2021,3,14,101.18,7.15,9.75,4.08,5.67,308.75,10.49,13.3,6.47,6.84,309.12,5.59,5.9,4.93
2021,3,15,101.95,4.36,7.77,1.9,5.88,247.5,6.09,11.17,3.18,7.98,247.75,5.67,6.21,3.03
2021,3,16,101.32,3.8,5.88,2.22,3.66,147.75,5.25,6.96,3.48,3.48,149.0,1.5,5.53,2.62
2021,3,17,101.15,2.15,3.43,1.23,2.21,100.25,3.22,5.47,1.51,3.97,101.19,2.0,5.7,1.49
2021,3,18,100.17,4.82,10.42,0.74,9.68,123.44,6.49,13.02,1.16,11.87,125.31,1.12,5.26,3.37
2021,3,19,101.36,7.48,10.2,4.03,6.16,16.94,10.48,12.59,7.95,4.66,17.69,5.97,6.18,5.19
2021,3,20,102.58,2.84,4.46,1.53,2.93,69.62,4.33,8.36,2.11,6.25,69.31,6.33,6.3,1.89
2021,3,21,102.43,2.77,3.56,1.36,2.2,143.81,4.02,6.58,1.82,4.76,143.88,6.28,6.24,1.71
2021,3,22,101.9,3.15,3.88,1.93,1.95,81.06,4.66,6.72,2.66,4.05,81.56,5.59,6.15,1.97
2021,3,23,101.46,3.9,5.08,2.97,2.11,86.38,5.88,7.81,3.88,3.92,87.38,3.56,5.83,2.62
2021,3,24,100.84,2.73,4.59,0.7,3.89,116.81,4.1,5.88,1.2,4.68,118.62,1.12,5.8,1.79
2021,3,25,100.84,2.85,4.97,1.65,3.32,175.19,4.45,8.57,1.84,6.73,176.06,2.58,5.79,1.81
2021,3,26,100.32,7.15,10.76,3.62,7.14,254.94,10.92,14.73,7.55,7.18,255.5,6.1,6.19,4.77
2021,3,27,101.16,3.29,5.66,0.41,5.25,191.75,5.06,8.7,0.55,8.16,192.62,4.78,6.14,2.16
2021,3,28,99.96,7.26,11.22,3.45,7.77,207.88,10.12,15.38,5.03,10.34,209.06,1.97,5.45,5.0
2021,3,29,101.29,5.73,9.83,0.86,8.98,255.62,7.66,13.49,1.14,12.35,256.31,6.56,6.82,3.99
2021,3,30,101.69,5.27,6.83,3.38,3.45,167.31,7.83,10.45,5.01,5.44,168.88,6.66,6.64,3.52
2021,3,31,100.72,5.12,10.3,0.91,9.38,205.62,7.84,13.64,1.84,11.8,207.12,1.29,5.99,3.4
2021,4,1,100.8,7.96,10.29,6.39,3.91,321.0,10.34,13.48,8.02,5.46,321.94,4.6,6.68,5.62
2021,4,2,101.72,6.81,8.2,4.56,3.63,322.12,9.63,10.3,8.19,2.11,323.31,6.86,7.05,4.77
2021,4,3,101.98,3.26,4.01,1.65,2.36,274.25,5.06,7.73,2.7,5.05,275.0,6.8,6.93,2.12
2021,4,4,101.07,4.88,6.3,2.88,3.42,292.88,8.05,10.88,5.65,5.23,293.62,6.48,6.58,3.19
2021,4,5,100.96,3.77,5.42,2.03,3.39,258.12,5.69,9.88,2.99,6.9,258.81,6.48,6.77,2.41
2021,4,6,100.7,2.63,6.43,0.96,5.47,193.06,4.11,9.3,1.45,7.86,191.25,6.43,6.59,1.68
2021,4,7,100.62,2.43,4.88,0.68,4.2,142.75,3.91,8.45,1.2,7.23,141.5,5.69,6.25,1.57
2021,4,8,100.9,4.62,6.47,2.91,3.55,130.31,6.62,8.51,4.74,3.77,131.06,6.02,6.46,3.2
2021,4,9,100.96,4.48,5.27,3.58,1.69,123.69,6.08,6.98,5.32,1.66,125.88,2.0,6.28,3.14
2021,4,10,100.4,3.34,4.52,2.62,1.91,121.5,4.99,7.71,3.2,4.5,123.19,3.6,6.52,2.3
2021,4,11,99.12,4.12,5.83,1.09,4.74,207.19,6.15,8.52,2.09,6.42,208.94,5.8,6.78,2.73
2021,4,12,99.84,3.16,5.23,1.33,3.91,93.0,4.37,8.74,1.02,7.71,91.12,3.22,6.78,2.21
2021,4,13,100.88,2.27,3.48,0.75,2.73,101.44,3.2,5.53,1.05,4.48,99.12,5.43,7.02,1.52
2021,4,14,100.81,2.23,3.38,0.51,2.88,221.94,3.38,5.8,0.77,5.04,222.44,2.24,6.53,1.43
2021,4,15,99.96,4.63,7.3,1.26,6.05,281.69,6.57,10.29,1.84,8.45,282.81,4.93,7.03,3.16
2021,4,16,100.03,5.64,8.1,3.46,4.65,284.06,8.35,10.32,5.97,4.35,285.12,5.53,7.33,3.87
2021,4,17,100.19,3.01,4.7,1.49,3.21,311.12,4.53,7.09,2.45,4.64,311.19,5.17,7.33,2.01
