YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2MDEW,T2MWET,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,DATE
2021,2,16,2.48,4.39,0.4,3.87,2.12,2.99,100.28,3.76,5.59,1.57,4.02,260.44,6.66,9.21,3.18,6.03,260.88,2021-02-16
2021,2,17,4.34,4.55,0.69,-1.33,-4.85,-3.09,102.01,2.36,3.65,1.44,2.21,68.31,4.15,6.02,1.78,4.23,68.12,2021-02-17
2021,2,18,0.97,4.15,0.15,-0.67,-1.65,-1.16,101.65,2.93,4.17,2.02,2.15,122.56,4.52,6.09,2.92,3.17,94.56,2021-02-18
2021,2,19,1.68,4.25,0.26,-0.9,-1.57,-1.24,101.23,2.95,3.89,1.92,1.98,318.0,5.28,6.73,3.73,3.0,319.0,2021-02-19
2021,2,20,4.64,4.88,0.72,-2.96,-5.77,-4.36,101.92,3.16,4.41,2.01,2.39,324.62,5.73,6.71,3.83,2.89,324.69,2021-02-20
2021,2,21,4.75,4.97,0.73,-2.11,-5.61,-3.86,102.69,2.01,2.69,0.88,1.8,189.94,3.71,5.86,0.99,4.86,190.0,2021-02-21
2021,2,22,1.16,4.66,0.17,0.16,-0.42,-0.13,101.11,3.45,5.5,2.3,3.19,213.12,6.2,9.52,4.09,5.45,214.06,2021-02-22
2021,2,23,4.95,4.91,0.74,4.48,2.8,3.64,100.49,3.42,5.88,2.33,3.54,265.12,6.75,9.34,3.7,5.64,266.25,2021-02-23
2021,2,24,4.92,5.04,0.73,8.31,5.52,6.91,100.96,2.62,3.77,0.38,3.38,225.25,4.95,8.25,0.48,7.77,225.69,2021-02-24
2021,2,25,4.79,4.98,0.7,7.65,3.48,5.56,101.39,2.8,4.34,1.32,3.02,184.5,5.34,7.73,2.16,5.57,184.19,2021-02-25
2021,2,26,1.55,4.65,0.23,4.01,2.2,3.11,102.1,2.32,3.33,1.41,1.92,75.19,3.84,4.86,2.32,2.54,76.62,2021-02-26
2021,2,27,1.6,4.55,0.23,7.15,6.55,6.85,101.46,2.24,4.7,0.95,3.76,213.06,3.91,6.81,1.63,5.18,215.06,2021-02-27
2021,2,28,0.95,4.4,0.13,11.55,11.06,11.3,101.16,2.17,2.84,1.23,1.6,151.5,4.34,5.7,2.8,2.9,153.56,2021-02-28
2021,3,1,1.11,4.72,0.16,11.88,10.05,10.97,100.41,3.32,5.29,1.71,3.58,275.38,6.24,8.33,3.54,4.79,276.62,2021-03-01
2021,3,2,5.15,5.57,0.72,3.0,-2.61,0.19,101.69,2.44,3.52,0.24,3.27,237.19,4.63,7.11,0.27,6.84,249.69,2021-03-02
2021,3,3,5.0,5.4,0.7,6.29,0.46,3.37,100.85,1.59,2.75,0.17,2.58,258.31,2.98,6.48,0.33,6.15,258.5,2021-03-03
2021,3,4,5.06,5.28,0.7,6.5,3.05,4.77,100.66,3.01,3.97,2.17,1.79,321.0,5.71,7.79,2.84,4.95,321.19,2021-03-04
2021,3,5,5.84,5.79,0.8,1.0,-3.76,-1.38,101.21,3.4,4.47,2.48,1.98,328.44,6.3,7.4,5.47,1.93,328.75,2021-03-05
2021,3,6,5.49,5.66,0.74,2.4,-2.31,0.04,101.48,2.51,3.16,1.82,1.34,234.38,4.83,6.62,3.35,3.27,234.44,2021-03-06
2021,3,7,5.85,5.8,0.78,1.27,-3.48,-1.1,102.06,2.26,3.16,1.6,1.55,191.38,3.92,4.91,2.31,2.6,190.81,2021-03-07
2021,3,8,5.69,5.72,0.76,3.91,-2.26,0.83,102.46,2.04,2.98,0.74,2.23,255.25,3.54,7.23,1.01,6.22,255.5,2021-03-08
2021,3,9,5.18,5.44,0.68,9.13,4.86,6.99,102.28,2.18,2.77,1.34,1.44,235.5,4.12,7.06,1.58,5.48,236.56,2021-03-09
2021,3,10,5.56,5.54,0.73,13.23,8.6,10.91,102.13,2.16,3.02,0.09,2.92,215.75,4.24,7.48,0.16,7.32,217.19,2021-03-10
2021,3,11,5.68,5.71,0.73,14.01,11.0,12.5,101.85,3.39,5.06,2.41,2.65,208.38,6.34,8.26,3.87,4.38,209.81,2021-03-11
2021,3,12,2.41,5.21,0.31,15.11,13.19,14.15,101.52,2.8,3.52,1.52,2.0,260.81,5.35,6.55,3.7,2.86,262.19,2021-03-12
2021,3,13,3.99,5.88,0.51,10.27,4.37,7.32,101.78,2.38,3.93,0.28,3.65,169.38,4.89,7.41,0.5,6.91,169.56,2021-03-13
2021,3,14,4.81,5.91,0.6,8.98,3.9,6.44,101.35,2.85,4.7,1.99,2.71,293.25,5.47,9.11,2.53,6.58,294.5,2021-03-14
2021,3,15,5.15,6.19,0.64,4.34,-2.48,0.93,102.0,2.66,4.57,1.53,3.03,43.44,4.81,8.8,2.05,6.75,43.5,2021-03-15
2021,3,16,1.44,5.64,0.18,4.24,2.99,3.62,101.43,1.8,2.65,0.76,1.9,133.0,2.62,3.7,1.38,2.32,134.62,2021-03-16
2021,3,17,1.8,5.85,0.22,7.95,6.87,7.41,101.21,1.39,1.96,0.77,1.2,74.44,2.48,4.1,1.02,3.09,60.88,2021-03-17
2021,3,18,1.32,5.43,0.16,13.01,12.23,12.62,100.12,3.04,6.55,1.81,4.74,168.75,5.37,9.51,3.65,5.86,170.69,2021-03-18
2021,3,19,4.22,5.9,0.51,5.24,0.62,2.93,101.26,5.0,6.73,1.84,4.88,21.38,8.27,10.1,4.28,5.82,22.75,2021-03-19
2021,3,20,6.17,6.34,0.74,4.01,-0.07,1.98,102.62,2.59,3.49,1.86,1.63,51.75,4.52,5.3,3.65,1.66,52.69,2021-03-20
2021,3,21,6.27,6.26,0.75,6.01,1.73,3.87,102.46,2.51,2.95,1.99,0.95,61.94,4.8,6.74,2.7,4.04,62.69,2021-03-21
2021,3,22,6.11,6.24,0.72,8.76,6.4,7.58,101.87,2.83,3.77,2.34,1.43,47.69,5.23,6.3,3.55,2.75,49.56,2021-03-22
2021,3,23,3.18,6.0,0.38,11.51,10.22,10.87,101.43,2.62,3.69,1.98,1.71,56.94,4.67,5.42,3.18,2.24,59.25,2021-03-23
2021,3,24,1.41,5.87,0.16,12.05,11.79,11.92,100.92,1.66,2.43,0.52,1.91,162.44,3.3,5.84,0.64,5.2,166.12,2021-03-24
2021,3,25,3.38,5.74,0.39,16.5,15.29,15.9,100.99,2.31,3.05,1.07,1.98,196.62,4.66,6.62,1.31,5.3,197.81,2021-03-25
2021,3,26,5.56,6.09,0.64,19.39,16.37,17.87,100.59,3.87,6.07,2.51,3.56,250.0,7.36,9.37,5.62,3.75,251.0,2021-03-26
2021,3,27,4.91,6.12,0.56,14.95,12.13,13.54,101.27,2.13,3.48,1.22,2.26,95.38,4.01,5.37,1.79,3.59,96.38,2021-03-27
2021,3,28,2.54,5.64,0.29,16.71,14.8,15.76,100.2,4.07,6.82,1.32,5.5,217.81,7.32,11.79,3.18,8.61,219.06,2021-03-28
2021,3,29,6.64,6.89,0.75,9.38,2.21,5.8,101.5,2.74,4.66,0.09,4.58,261.12,4.92,8.88,0.23,8.65,262.0,2021-03-29
2021,3,30,6.78,6.76,0.76,11.92,8.14,10.03,101.84,2.84,3.98,1.88,2.09,175.69,5.48,7.21,2.48,4.73,177.0,2021-03-30
2021,3,31,1.79,5.99,0.2,16.35,15.61,15.98,100.86,3.43,5.41,2.5,2.91,192.25,6.13,8.95,4.27,4.69,194.12,2021-03-31
2021,4,1,4.16,6.62,0.46,7.61,2.6,5.11,100.96,4.47,5.57,3.05,2.52,325.62,7.2,8.66,6.0,2.66,326.69,2021-04-01
2021,4,2,6.95,7.1,0.76,1.99,-4.63,-1.31,101.95,3.76,5.12,2.34,2.79,327.88,6.78,7.54,5.94,1.6,328.75,2021-04-02
2021,4,3,7.03,7.05,0.77,4.56,-2.47,1.05,102.19,2.05,2.72,1.0,1.73,283.38,4.09,6.96,1.57,5.39,284.75,2021-04-03
2021,4,4,6.58,6.73,0.71,11.12,6.73,8.93,101.29,2.72,3.38,2.12,1.25,280.88,5.37,7.78,2.77,5.01,282.75,2021-04-04
2021,4,5,6.74,6.85,0.73,13.23,7.02,10.12,101.13,2.12,2.83,1.21,1.62,264.88,4.21,6.5,1.79,4.71,251.56,2021-04-05
2021,4,6,6.55,6.65,0.7,16.82,11.1,13.96,100.77,1.84,2.59,0.75,1.84,199.94,3.79,6.2,1.2,5.01,200.56,2021-04-06
2021,4,7,6.07,6.57,0.64,18.56,13.55,16.05,100.68,1.64,2.45,0.76,1.69,219.31,3.0,6.16,1.2,4.95,219.0,2021-04-07
2021,4,8,6.28,6.61,0.66,15.24,11.42,13.33,100.87,3.3,4.76,1.96,2.79,105.31,5.56,7.09,4.3,2.79,107.31,2021-04-08
2021,4,9,4.22,6.44,0.45,17.23,14.78,16.01,100.89,2.16,2.91,1.44,1.48,112.69,3.98,5.58,2.91,2.66,116.44,2021-04-09
2021,4,10,4.81,6.53,0.5,18.81,15.53,17.17,100.43,1.79,2.66,0.46,2.2,146.5,3.27,6.22,0.54,5.68,149.19,2021-04-10
2021,4,11,5.88,6.97,0.61,19.24,15.58,17.4,99.3,3.05,3.95,1.93,2.02,228.75,5.85,7.49,4.17,3.32,230.12,2021-04-11
2021,4,12,3.92,7.11,0.41,15.78,12.09,13.94,99.89,1.62,2.09,0.58,1.52,154.19,3.15,5.02,1.05,3.97,153.31,2021-04-12
2021,4,13,5.83,7.12,0.59,14.16,10.94,12.55,100.98,2.13,3.14,1.3,1.84,198.56,3.8,5.52,2.44,3.09,197.88,2021-04-13
2021,4,14,3.97,6.84,0.41,15.15,12.63,13.89,100.86,1.86,3.15,0.8,2.35,154.75,3.59,4.58,1.3,3.27,157.38,2021-04-14
2021,4,15,3.94,6.98,0.4,14.15,9.71,11.93,100.1,2.7,3.66,1.48,2.18,258.38,4.88,7.2,3.09,4.09,259.12,2021-04-15
2021,4,16,6.95,7.52,0.7,10.73,5.19,7.96,100.25,2.64,3.59,1.82,1.77,297.81,5.03,6.06,3.66,2.39,299.19,2021-04-16
2021,4,17,5.97,7.29,0.6,11.62,6.62,9.12,100.33,1.73,2.25,0.64,1.61,250.19,2.94,4.68,0.98,3.7,249.94,2021-04-17
2021,4,18,5.45,7.24,0.55,13.65,8.62,11.13,100.45,1.26,1.99,0.51,1.48,145.94,2.37,4.55,0.66,3.89,143.38,2021-04-18
2021,4,19,3.15,6.91,0.31,12.45,8.9,10.67,100.46,1.85,3.32,0.66,2.66,174.31,3.13,5.89,0.94,4.95,174.38,2021-04-19
2021,4,20,7.36,7.51,0.73,14.5,9.41,11.96,100.73,2.87,4.01,1.43,2.58,208.25,5.51,7.81,1.79,6.02,209.81,2021-04-20
2021,4,21,5.89,7.13,0.58,12.87,7.32,10.09,100.25,4.25,6.19,2.96,3.23,260.75,7.45,9.52,6.08,3.44,261.56,2021-04-21
2021,4,22,6.13,7.63,0.6,6.61,-0.1,3.26,101.09,3.17,4.7,2.02,2.69,286.44,5.79,7.16,3.48,3.69,287.81,2021-04-22
2021,4,23,6.64,7.66,0.65,8.48,2.5,5.49,101.37,2.32,2.93,1.48,1.45,255.88,4.48,5.91,1.9,4.01,256.62,2021-04-23
2021,4,24,3.41,7.23,0.33,10.98,7.38,9.18,100.79,1.87,3.34,0.45,2.9,171.5,3.23,5.86,0.52,5.34,173.0,2021-04-24
2021,4,25,4.64,7.55,0.45,13.24,9.94,11.58,100.24,2.87,4.13,1.34,2.79,317.81,5.31,6.4,3.21,3.19,318.56,2021-04-25
2021,4,26,7.78,7.81,0.75,13.26,6.44,9.84,101.24,2.27,3.47,0.68,2.79,283.5,4.31,7.16,1.23,5.92,283.19,2021-04-26
2021,4,27,7.4,7.59,0.71,18.17,13.62,15.9,101.0,3.02,4.16,2.05,2.12,216.25,5.72,7.62,2.65,4.97,217.81,2021-04-27
2021,4,28,6.73,7.39,0.64,21.42,17.6,19.51,100.69,3.05,3.92,2.26,1.66,229.81,5.84,7.69,3.9,3.79,231.5,2021-04-28
2021,4,29,5.19,6.94,0.49,22.87,18.87,20.87,100.07,3.61,5.53,2.02,3.51,227.19,6.74,9.5,2.93,6.57,229.12,2021-04-29
2021,4,30,7.68,7.97,0.73,17.98,10.44,14.21,100.15,4.67,5.9,3.33,2.57,301.19,8.45,10.16,6.55,3.61,301.75,2021-04-30
